Year	Netherlands	Belgium	Luxembourg
2000	4.13E+11	2.38E+11	21263514833
2001	4.27E+11	2.38E+11	21272418792
2002	4.65E+11	2.59E+11	23616328816
2003	5.72E+11	3.19E+11	29557325056
2004	6.51E+11	3.71E+11	34685281848
2005	6.79E+11	3.87E+11	37347394603
2006	7.27E+11	4.10E+11	42414308117
2007	8.39E+11	4.72E+11	50888134410
2008	9.36E+11	5.19E+11	55849686539
2009	8.58E+11	4.85E+11	51370543206
2010	8.36E+11	4.84E+11	53212476812
2011	8.94E+11	5.27E+11	60004630234
2012	8.29E+11	4.98E+11	56677961787
2013	8.67E+11	5.20E+11	61808178300
2014	8.80E+11	5.32E+11	66298060522
2015	7.50E+11	4.55E+11	58048242436
