years,datetime,city,state,shape,duration (seconds),comments,latitude,longitude 
1910,06 January 1910,wills point,tx,cigar,120,Cigar shaped object moving from West to East,32.7091667,-96.0080556
1920,06 November 1920,cicero,in,unknown,60,((NUFORC Note:  Probable hoax.  Note date.  PD))  Strange gathering of objects in the sky.,40.1238889,-86.0133333
1929,07 May 1929,buchanan  (or burns),or,disk,60,we were traveling east of burns&#44clmbing up thru a cut in the rim rocks when this object very slowely flew over the top of us&#44 some 50 f,43.6425,-118.6275
1931,06 January 1931,abilene,ks,disk,1800,This is a what my mother related to me regarding an experience my grandparents had.  They did not tell anyone for 20 or more years beca,38.9172222,-97.2136111
1939,06 January 1939,waterloo,al,fireball,300,4 high school students see bright&#44 ground-level&#44 slow moving fireball in the late 1930&#39s,34.9180556,-88.0641667
1939,07 July 1939,keokuk,ia,oval,600,Mother sees UFO above railroad tracks in 1939.,40.3972222,-91.3847222
1941,06 January 1941,ludington (hamlin lake),mi,disk,30,As a boy some 60 plus years ago I saw a round silver disc in the sky when I looked up from playing with ant hills.,43.9552778,-86.4525
1942,06 January 1942,hapeville,ga,unknown,180,bright object approchjng Venus&#44 1940&#39s,33.66,-84.4102778
1944,01 January 1944,san diego,ca,cigar,180,A sighting of one silver or white enlongated cylindrical or cigar shaped craft without any visual control surfaces heading west to east,32.7152778,-117.1563889
1944,06 January 1944,los alamos,nm,disk,3600,Disk hovers over Los Alamos during the development of the atomic bombs; pursued by planes.,35.8880556,-106.3063889
1944,04 February 1944,clovis,nm,disk,90,Saw UFO in 1944 over an airbase in New Mexico&#44 not very far from&#44 Roswell.,34.4047222,-103.2047222
1945,06 January 1945,jasper,fl,fireball,300,I belived it would be to our best Intrest to check this out .,30.5180556,-82.9483333
1945,06 July 1945,winston-salem,nc,disk,2,I always thought this sighting should be on an official list&#44 now&#44 60 yrs. later&#44 it is.,36.0997222,-80.2444444
1945,08 August 1945,huntington beach,ca,disk,300,MY DAD SAYS HIS AUNT AND UNCLE SAW THIS CRAFT IN 1944 OR 1945 DURING THE DAY IT HOVERED OVER THEM FOR ABOUT 5 MINUTES IN THE AREA OF BU,33.6602778,-117.9983333
1945,07 October 1945,portsmouth,va,formation,180,1945  RED  FLICKERING  V FORMATION  CRAFTS  MOVING  EXTREEML  FAST .,36.8352778,-76.2986111
1946,02 January 1946,merced,ca,sphere,10,Three luminescent chartreusse spheres moving &quot;in trail&quot; in a wide arc (34 mi) across the Valley sky.,37.3022222,-120.4819444
1946,07 January 1946,south portland,me,oval,10,motionless&#44 dark oblong&#44 noon sky over ocean&#44 felt Energy-Pull of Observing craft; when spotted&#44accelerated straight upwards fast,43.6413889,-70.2413889
1946,01 August 1946,new york city (brooklyn),ny,disk,300,Huge round silver disk hovering over neighbors house&#44 writing on disk and roaring fire from disk,40.7141667,-74.0063889
1947,06 January 1947,espanola (outside of),nm,circle,300,Saucer shaped object  about  ten feet in diam.,35.9911111,-106.08
1947,06 January 1947,cleveland,oh,light,300,It was about 2:15 in the morning when my wife woke me from a deep sleep and began to complain of stomach problems. As I was getting out,41.4994444,-81.6955556
1947,06 January 1947,oroville,ca,unknown,60,I was only six&#44 but I was playing jacks in front of my home&#44 I looked up at the ball&#44 and there they were..no noise..I know now&#44 they w,39.5138889,-121.5552778
1947,07 January 1947,maywood,ca,disk,120,1947 UFO sighting Date: ? sometime in early summer Time: after dark (between 7 - 9 pm) Place: Maywood IL not far from O&#8217;hare Airbase (n,33.9866667,-118.1844444
1947,07 January 1947,cashmere,wa,formation,120,THE SIGHTING.&#9;It was a clear&#44 summer&#8217;s evening in 1947 (or 1948 &#8211; I can&#8217;t be sure of the exact year).  The sun had just set over th,47.5225,-120.4686111
1947,07 January 1947,minden,la,unknown,10,High altitude sighting in 1947,32.6152778,-93.2866667
1947,07 January 1947,wexford,pa,unknown,10,I have told this to people over many years. While on school vacation at my uncles junk yard one evening I noticed on the horizon at dus,40.6263889,-80.0561111
1947,07 April 1947,seattle,wa,oval,10,While walking in Woodland Park in Seattle&#44 Washington&#44 on July 4&#44 1947&#44 I looked up and saw a bright white oval object come down .,47.6063889,-122.3308333
1947,07 May 1947,philadelphia,pa,disk,300,Six craft observed that brought people out of their homes to look up.,39.9522222,-75.1641667
1947,07 September 1947,johnston city,il,disk,45,I was only 13 at the time but I will never forget what  I watch on that warm July evening I&#39am 69 now,37.8205556,-88.9275
1947,01 October 1947,conroe,tx,other,4,The date was early 1947 before Arnold&#39s &quot;flying saucers&quot;.  I was ten years old&#44 ridding in the front seat of our car next to the passan,30.3116667,-95.4558333
1947,08 October 1947,green valley,wi,unknown,300,White lights 5 to 7&#44 1/4 mile away&#44 no sounds&#44 just disappeared&#44,44.7955556,-88.2702778
1947,08 November 1947,roswell,nm,unknown,2400,Information,33.3941667,-104.5225
1947,08 December 1947,saranac lake,ny,disk,360,6-7 Disc shaped objects.  ((REPORT FROM:  BRIAN VIKE&#44 BRITISH COLUMBIA&#44 CANADA.)),44.3294444,-74.1316667
1948,08 January 1948,new york city (brooklyn),ny,circle,600,A round overing craft over neighbors roof&#44 emitting a roaring sound &#44 observed fire like a jet engine beneath,40.7141667,-74.0063889
1948,05 October 1948,scipio,in,sphere,10,Round red glowing ball going west in Northern sky.,39.0791667,-85.7175
1948,12 December 1948,sharpsburg,md,circle,180,Small UFO at 100&#39&#44  airspeed less than 20mph&#44 absolutely silent&#44  saw crew&#44 normal&#44 white uniforms.,39.4575,-77.7491667
1949,05 January 1949,oak ridge (drive),wv,other,40,log shape whooshing object observed near charleston w.v.,38.075,-81.1097222
1949,07 January 1949,fairbanks,ak,disk,120,Enormous metallic disc in Alaska sky&#44 1949.,64.8377778,-147.7163889
1949,07 January 1949,marion,al,formation,60,GEORGIA UFO GROUP Report/Tom Sheets:  Witness Debriefing-Alabama Orbs&#44 1949,32.6322222,-87.3191667
1949,04 October 1949,seattle,wa,disk,600,UFO Hovers over Seattle sky,47.6063889,-122.3308333
1949,06 October 1949,anchorage,ak,disk,180,Disk encountered operation difficulties and crashed.,61.2180556,-149.9002778
1949,10 October 1949,san marcos,tx,cylinder,2700,This event took place in early fall around 1949-50. It occurred after a Boy Scout meeting in the Baptist Church. The Baptist Church sit,29.8830556,-97.9411111
1950,06 January 1950,philadelphia,ms,disk,600,Childhood sighting of disk witnessed by mother and sons.,32.7713889,-89.1166667
1950,06 January 1950,pittsburgh,pa,oval,1500,One larger white object &amp; 2 smaller round white objects.,40.4405556,-79.9961111
1950,08 January 1950,louisville,ky,other,60,In 1953&#44 at the age of 3 years old I was Contacted by what is described as a &quot;GREY&quot;.  This happened in Ky in 1953.,38.2541667,-85.7594444
1950,10 January 1950,pikeville,ky,disk,600,SEVENTY SOME  FLYING DISK OBSERVED IN  1950,37.4791667,-82.5188889
1950,01 February 1950,new york city,ny,oval,900,good and true info. 500 Lights On Object0: Yes,40.7141667,-74.0063889
